04-2012,9,10
05-2012,20,24
06-2012,20,25
07-2012,14,24
08-2012,6,12
09-2012,6,6
10-2012,9,13
11-2012,10,13
12-2012,12,21
01-2013,20,63
02-2013,23,54
03-2013,5,18
04-2013,3,4
05-2013,17,36
06-2013,13,13
07-2013,42,71
08-2013,31,49
09-2013,33,49
10-2013,45,63
11-2013,33,46
12-2013,32,50
01-2014,34,190
02-2014,51,98
03-2014,58,125
04-2014,47,102
05-2014,91,120
06-2014,43,71
07-2014,95,138
08-2014,48,71
09-2014,52,63
10-2014,46,106
11-2014,62,108
12-2014,45,84
01-2015,56,104
02-2015,67,100
03-2015,57,88
04-2015,56,189
05-2015,42,88
06-2015,53,87
07-2015,46,74
08-2015,25,52
09-2015,54,82
10-2015,43,58
11-2015,46,65
12-2015,37,89
01-2016,51,65
02-2016,62,67
03-2016,54,79
04-2016,48,108
05-2016,52,119
06-2016,55,90
07-2016,40,77
08-2016,29,42
09-2016,45,75
10-2016,41,54
11-2016,54,76
12-2016,37,46
01-2017,43,57
02-2017,30,51
03-2017,37,62
04-2017,38,99
05-2017,54,91
06-2017,59,106
07-2017,38,90
08-2017,42,56
09-2017,37,52
10-2017,47,482
